review_id,date,author,aspect,aspect_detail,opinion,sentiment_score,aspect_sentiment,derived_sentiment,is_service_killer,original_text
rev_1,03/28/2026 16:53:17,Paul Chan,Seimen,Taste,Similar to Japan food,0.9,Positive,Positive,FALSE,"4.8/5.0 Taste similar to food during my Japan trip.
Price is right and food quality is almost the same as I've taste during my Japan trip. Strongly recommend this place."
rev_1,03/28/2026 16:53:17,Paul Chan,Value,Price,Price is right,0.9,Positive,Positive,FALSE,"4.8/5.0 Taste similar to food during my Japan trip.
Price is right and food quality is almost the same as I've taste during my Japan trip. Strongly recommend this place."
rev_1,03/28/2026 16:53:17,Paul Chan,Seimen,Food quality,Almost same as Japan,0.9,Positive,Positive,FALSE,"4.8/5.0 Taste similar to food during my Japan trip.
Price is right and food quality is almost the same as I've taste during my Japan trip. Strongly recommend this place."
rev_2,03/28/2026 09:56:16,Lilian,Yusen & Prep,wait time,not worth the wait,-0.9,Negative,Negative,TRUE,"A fun udon spot to try out, cafeteria style! Udon is made fresh on onsite. I got the beef udon with 2 shrimp tempura, it was good but not worth the 1 hour 10 mins on Saturday night at 7pm. Udon texture was a bit too dense and not bouncy. The beef on the udon was delicious though! Shrimp tempura was crispy and light, but had a lot of batter. Just stick to one piece. Overall not bad for $20 but only worth coming if there’s no line."
rev_3,03/28/2026 06:38:47,J,Seimen,Udon noodles,soft and chewy,0.8,Positive,Positive,FALSE,"Loved it! Udon noodles were soft and chewy, they were so good. The tempura was also really fresh and delicious. The squid tempura, in particular, was super tender, moist, and flavorful! The sauces were selfserve, which was a bit inconvenient, but being able to choose different ones and dip the toppings actually made it even better."
rev_3,03/28/2026 06:38:47,J,Tempura,tempura,fresh and delicious,0.8,Positive,Positive,FALSE,"Loved it! Udon noodles were soft and chewy, they were so good. The tempura was also really fresh and delicious. The squid tempura, in particular, was super tender, moist, and flavorful! The sauces were selfserve, which was a bit inconvenient, but being able to choose different ones and dip the toppings actually made it even better."
rev_3,03/28/2026 06:38:47,J,Tempura,squid tempura,"tender, moist, flavorful",0.9,Positive,Positive,FALSE,"Loved it! Udon noodles were soft and chewy, they were so good. The tempura was also really fresh and delicious. The squid tempura, in particular, was super tender, moist, and flavorful! The sauces were selfserve, which was a bit inconvenient, but being able to choose different ones and dip the toppings actually made it even better."
rev_3,03/28/2026 06:38:47,J,Yusen & Prep,sauces,selfserve inconvenient,0.6,Positive,Positive,FALSE,"Loved it! Udon noodles were soft and chewy, they were so good. The tempura was also really fresh and delicious. The squid tempura, in particular, was super tender, moist, and flavorful! The sauces were selfserve, which was a bit inconvenient, but being able to choose different ones and dip the toppings actually made it even better."
rev_4,03/27/2026 17:16:57,Kristann Raveendran,Seimen,udon,Excellent,1,Positive,Positive,FALSE,Excellent udon and efficient service. Worth the wait in line.
rev_4,03/27/2026 17:16:57,Kristann Raveendran,Service,service,efficient,1,Positive,Positive,FALSE,Excellent udon and efficient service. Worth the wait in line.
rev_4,03/27/2026 17:16:57,Kristann Raveendran,Value,wait time,worth waiting,1,Positive,Positive,FALSE,Excellent udon and efficient service. Worth the wait in line.
rev_5,03/27/2026 02:25:43,Simon W,Yusen & Prep,wait time,Long wait,-0.8,Negative,Negative,TRUE,"Came on day 3 of the soft opening and waited 40 minute from the washroom until the point of payment.

Heard great things about this place and I thought it met expectations. I ordered the large #6 curry udon and loaded up on some tempura. The noodles I felt weren't as chewy for freshly made udon, maybe it was over cooked. The squid tempura was really good, but I wouldn't get the chicken tempura again because it was a bit greasy. Two of my friends got egg tempura and one was overcooked so it wasn't runny unfortunately :(. Service was really good as there was staff helping us scope out a table.

Would recommend and would come back, but when there's a shorter wait."
rev_5,03/27/2026 02:25:43,Simon W,Seimen,curry udon,Met expectations,0,Neutral,Neutral,FALSE,"Came on day 3 of the soft opening and waited 40 minute from the washroom until the point of payment.

Heard great things about this place and I thought it met expectations. I ordered the large #6 curry udon and loaded up on some tempura. The noodles I felt weren't as chewy for freshly made udon, maybe it was over cooked. The squid tempura was really good, but I wouldn't get the chicken tempura again because it was a bit greasy. Two of my friends got egg tempura and one was overcooked so it wasn't runny unfortunately :(. Service was really good as there was staff helping us scope out a table.

Would recommend and would come back, but when there's a shorter wait."
rev_5,03/27/2026 02:25:43,Simon W,Seimen,noodles,Not as chewy,-0.7,Negative,Negative,TRUE,"Came on day 3 of the soft opening and waited 40 minute from the washroom until the point of payment.

Heard great things about this place and I thought it met expectations. I ordered the large #6 curry udon and loaded up on some tempura. The noodles I felt weren't as chewy for freshly made udon, maybe it was over cooked. The squid tempura was really good, but I wouldn't get the chicken tempura again because it was a bit greasy. Two of my friends got egg tempura and one was overcooked so it wasn't runny unfortunately :(. Service was really good as there was staff helping us scope out a table.

Would recommend and would come back, but when there's a shorter wait."
rev_5,03/27/2026 02:25:43,Simon W,Tempura,squid tempura,Really good,0.9,Positive,Positive,FALSE,"Came on day 3 of the soft opening and waited 40 minute from the washroom until the point of payment.

Heard great things about this place and I thought it met expectations. I ordered the large #6 curry udon and loaded up on some tempura. The noodles I felt weren't as chewy for freshly made udon, maybe it was over cooked. The squid tempura was really good, but I wouldn't get the chicken tempura again because it was a bit greasy. Two of my friends got egg tempura and one was overcooked so it wasn't runny unfortunately :(. Service was really good as there was staff helping us scope out a table.

Would recommend and would come back, but when there's a shorter wait."
rev_5,03/27/2026 02:25:43,Simon W,Tempura,chicken tempura,Greasy,-0.8,Negative,Negative,TRUE,"Came on day 3 of the soft opening and waited 40 minute from the washroom until the point of payment.

Heard great things about this place and I thought it met expectations. I ordered the large #6 curry udon and loaded up on some tempura. The noodles I felt weren't as chewy for freshly made udon, maybe it was over cooked. The squid tempura was really good, but I wouldn't get the chicken tempura again because it was a bit greasy. Two of my friends got egg tempura and one was overcooked so it wasn't runny unfortunately :(. Service was really good as there was staff helping us scope out a table.

Would recommend and would come back, but when there's a shorter wait."
rev_5,03/27/2026 02:25:43,Simon W,Tempura,egg tempura,Overcooked,-0.7,Negative,Negative,TRUE,"Came on day 3 of the soft opening and waited 40 minute from the washroom until the point of payment.

Heard great things about this place and I thought it met expectations. I ordered the large #6 curry udon and loaded up on some tempura. The noodles I felt weren't as chewy for freshly made udon, maybe it was over cooked. The squid tempura was really good, but I wouldn't get the chicken tempura again because it was a bit greasy. Two of my friends got egg tempura and one was overcooked so it wasn't runny unfortunately :(. Service was really good as there was staff helping us scope out a table.

Would recommend and would come back, but when there's a shorter wait."
rev_5,03/27/2026 02:25:43,Simon W,Service,service,Really good,0.9,Positive,Positive,FALSE,"Came on day 3 of the soft opening and waited 40 minute from the washroom until the point of payment.

Heard great things about this place and I thought it met expectations. I ordered the large #6 curry udon and loaded up on some tempura. The noodles I felt weren't as chewy for freshly made udon, maybe it was over cooked. The squid tempura was really good, but I wouldn't get the chicken tempura again because it was a bit greasy. Two of my friends got egg tempura and one was overcooked so it wasn't runny unfortunately :(. Service was really good as there was staff helping us scope out a table.

Would recommend and would come back, but when there's a shorter wait."
rev_6,03/27/2026 02:01:14,Sarah T,Value,cheaper,cheaper,1,Positive,Positive,FALSE,cheaper and even better than the waikiki location <3
rev_6,03/27/2026 02:01:14,Sarah T,Service,even better,great,1,Positive,Positive,FALSE,cheaper and even better than the waikiki location <3
rev_8,03/26/2026 00:55:53,Hien Nguyen,Seimen,food,great,1,Positive,Positive,FALSE,Cafeteria-style dining experience. Food was great; no complaints.
rev_10,03/25/2026 20:15:16,Chloe Lee,Tempura,Tempura batter,too thick,-0.7,Negative,Negative,TRUE,"Nothing special and not worth a long trip. Tempura batter was too thick and noodles were just okay. Tempura egg was good though and portions are decent.

Good thing is no wait!"
rev_10,03/25/2026 20:15:16,Chloe Lee,Seimen,Noodles,just okay,0,Neutral,Neutral,FALSE,"Nothing special and not worth a long trip. Tempura batter was too thick and noodles were just okay. Tempura egg was good though and portions are decent.

Good thing is no wait!"
rev_10,03/25/2026 20:15:16,Chloe Lee,Tempura,Tempura egg,good,0.7,Positive,Positive,FALSE,"Nothing special and not worth a long trip. Tempura batter was too thick and noodles were just okay. Tempura egg was good though and portions are decent.

Good thing is no wait!"
rev_10,03/25/2026 20:15:16,Chloe Lee,Value,Portions,decent,0,Neutral,Neutral,FALSE,"Nothing special and not worth a long trip. Tempura batter was too thick and noodles were just okay. Tempura egg was good though and portions are decent.

Good thing is no wait!"
rev_10,03/25/2026 20:15:16,Chloe Lee,Service,Wait time,no wait,0.8,Positive,Positive,FALSE,"Nothing special and not worth a long trip. Tempura batter was too thick and noodles were just okay. Tempura egg was good though and portions are decent.

Good thing is no wait!"
rev_13,03/24/2026 21:35:27,tania martina,Service,Self serve,Self serve,0,Neutral,Neutral,FALSE,Self serve and No tipping!
rev_13,03/24/2026 21:35:27,tania martina,Value,No tipping,No tipping,0,Neutral,Neutral,FALSE,Self serve and No tipping!
rev_14,03/24/2026 16:03:00,Paul Murata,Seimen,udon,is great,1,Positive,Positive,FALSE,"Not bad at all. The ingredients are fresh and the place brings back memories of Japan. It's still very new so it gets pretty crowded at times but the line goes fairly quickly and people eating don't stay too long so there's a good flow.
Udon is great and tempura extras are good. Goyza was ""ma-ma"" but everything else was good.
Had to wait a bit for curry to be ready (surprised since we just got there when it opened so why wasnt it ready?) But, otherwise, all went okay."
rev_14,03/24/2026 16:03:00,Paul Murata,Tempura,tempura extras,are good,1,Positive,Positive,FALSE,"Not bad at all. The ingredients are fresh and the place brings back memories of Japan. It's still very new so it gets pretty crowded at times but the line goes fairly quickly and people eating don't stay too long so there's a good flow.
Udon is great and tempura extras are good. Goyza was ""ma-ma"" but everything else was good.
Had to wait a bit for curry to be ready (surprised since we just got there when it opened so why wasnt it ready?) But, otherwise, all went okay."
rev_14,03/24/2026 16:03:00,Paul Murata,Tempura,goyza,was ma-ma,0,Neutral,Neutral,FALSE,"Not bad at all. The ingredients are fresh and the place brings back memories of Japan. It's still very new so it gets pretty crowded at times but the line goes fairly quickly and people eating don't stay too long so there's a good flow.
Udon is great and tempura extras are good. Goyza was ""ma-ma"" but everything else was good.
Had to wait a bit for curry to be ready (surprised since we just got there when it opened so why wasnt it ready?) But, otherwise, all went okay."
rev_14,03/24/2026 16:03:00,Paul Murata,Yusen & Prep,curry preparation,wait a bit,-0.5,Negative,Negative,FALSE,"Not bad at all. The ingredients are fresh and the place brings back memories of Japan. It's still very new so it gets pretty crowded at times but the line goes fairly quickly and people eating don't stay too long so there's a good flow.
Udon is great and tempura extras are good. Goyza was ""ma-ma"" but everything else was good.
Had to wait a bit for curry to be ready (surprised since we just got there when it opened so why wasnt it ready?) But, otherwise, all went okay."
rev_15,03/24/2026 13:45:21,DFX,Value,Value,great affordable lunch spot,0.8,Positive,Positive,FALSE,"An affordable cafeteria style sit down restaurant with udon and tempura dishes. There are not many options when it comes to healthier sides or vegetables.

Overall, it can be a great affordable lunch spot if you are around the area, but personally it was not worth lining up for or going out of your way to visit."
rev_15,03/24/2026 13:45:21,DFX,Yusen & Prep,Wait time,not worth lining up for,-0.7,Negative,Negative,TRUE,"An affordable cafeteria style sit down restaurant with udon and tempura dishes. There are not many options when it comes to healthier sides or vegetables.

Overall, it can be a great affordable lunch spot if you are around the area, but personally it was not worth lining up for or going out of your way to visit."
rev_15,03/24/2026 13:45:21,DFX,Yusen & Prep,Menu variety,not many options,-0.6,Negative,Negative,TRUE,"An affordable cafeteria style sit down restaurant with udon and tempura dishes. There are not many options when it comes to healthier sides or vegetables.

Overall, it can be a great affordable lunch spot if you are around the area, but personally it was not worth lining up for or going out of your way to visit."
rev_16,03/24/2026 13:22:57,Candy Choi,Seimen,broth,flavorful and comfortable,0.9,Positive,Positive,FALSE,"A solid bang for your buck, no frills udon spot that brings a new Japanese restaurant to the neighborhood. The broth is flavorful and comfortable, and the noodles have a light chew and bounce. There's lots of tempura and sides to choose from, as well as a small drink selection of both Western and Japanese offerings.

Going on Monday right at 12pm, the wait in line was about 20 minutes and moved quickly. Finding seating isn't too difficult as turnover is fast. Make sure to remember to bring your tray and clear your table before you leave. I was in and out within the hour."
rev_16,03/24/2026 13:22:57,Candy Choi,Yusen & Prep,noodles,light chew,0.8,Positive,Positive,FALSE,"A solid bang for your buck, no frills udon spot that brings a new Japanese restaurant to the neighborhood. The broth is flavorful and comfortable, and the noodles have a light chew and bounce. There's lots of tempura and sides to choose from, as well as a small drink selection of both Western and Japanese offerings.

Going on Monday right at 12pm, the wait in line was about 20 minutes and moved quickly. Finding seating isn't too difficult as turnover is fast. Make sure to remember to bring your tray and clear your table before you leave. I was in and out within the hour."
rev_16,03/24/2026 13:22:57,Candy Choi,Tempura,tempura,lots to choose,0.8,Positive,Positive,FALSE,"A solid bang for your buck, no frills udon spot that brings a new Japanese restaurant to the neighborhood. The broth is flavorful and comfortable, and the noodles have a light chew and bounce. There's lots of tempura and sides to choose from, as well as a small drink selection of both Western and Japanese offerings.

Going on Monday right at 12pm, the wait in line was about 20 minutes and moved quickly. Finding seating isn't too difficult as turnover is fast. Make sure to remember to bring your tray and clear your table before you leave. I was in and out within the hour."
rev_16,03/24/2026 13:22:57,Candy Choi,Yusen & Prep,drink selection,small selection,0,Neutral,Neutral,FALSE,"A solid bang for your buck, no frills udon spot that brings a new Japanese restaurant to the neighborhood. The broth is flavorful and comfortable, and the noodles have a light chew and bounce. There's lots of tempura and sides to choose from, as well as a small drink selection of both Western and Japanese offerings.

Going on Monday right at 12pm, the wait in line was about 20 minutes and moved quickly. Finding seating isn't too difficult as turnover is fast. Make sure to remember to bring your tray and clear your table before you leave. I was in and out within the hour."
rev_16,03/24/2026 13:22:57,Candy Choi,Service,wait time,short wait,0.7,Positive,Positive,FALSE,"A solid bang for your buck, no frills udon spot that brings a new Japanese restaurant to the neighborhood. The broth is flavorful and comfortable, and the noodles have a light chew and bounce. There's lots of tempura and sides to choose from, as well as a small drink selection of both Western and Japanese offerings.

Going on Monday right at 12pm, the wait in line was about 20 minutes and moved quickly. Finding seating isn't too difficult as turnover is fast. Make sure to remember to bring your tray and clear your table before you leave. I was in and out within the hour."
rev_16,03/24/2026 13:22:57,Candy Choi,Service,seating,easy to find,0.8,Positive,Positive,FALSE,"A solid bang for your buck, no frills udon spot that brings a new Japanese restaurant to the neighborhood. The broth is flavorful and comfortable, and the noodles have a light chew and bounce. There's lots of tempura and sides to choose from, as well as a small drink selection of both Western and Japanese offerings.

Going on Monday right at 12pm, the wait in line was about 20 minutes and moved quickly. Finding seating isn't too difficult as turnover is fast. Make sure to remember to bring your tray and clear your table before you leave. I was in and out within the hour."
rev_16,03/24/2026 13:22:57,Candy Choi,Value,value,bang for buck,0.9,Positive,Positive,FALSE,"A solid bang for your buck, no frills udon spot that brings a new Japanese restaurant to the neighborhood. The broth is flavorful and comfortable, and the noodles have a light chew and bounce. There's lots of tempura and sides to choose from, as well as a small drink selection of both Western and Japanese offerings.

Going on Monday right at 12pm, the wait in line was about 20 minutes and moved quickly. Finding seating isn't too difficult as turnover is fast. Make sure to remember to bring your tray and clear your table before you leave. I was in and out within the hour."
rev_17,03/24/2026 06:39:04,Nat,Seimen,food,good but nothing outstanding,0.5,Positive,Positive,FALSE,"very excited to try this restaurant. The food we had overall was good but nothing outstanding, can't argue since the price point is great and service was super quick and friendly despite the long line. The lineup inside is a but confusing though as they take up space and people just try to reserve seats even though they're so far along in the line."
rev_17,03/24/2026 06:39:04,Nat,Value,price point,price point is great,0.9,Positive,Positive,FALSE,"very excited to try this restaurant. The food we had overall was good but nothing outstanding, can't argue since the price point is great and service was super quick and friendly despite the long line. The lineup inside is a but confusing though as they take up space and people just try to reserve seats even though they're so far along in the line."
rev_17,03/24/2026 06:39:04,Nat,Service,service,service was super quick and friendly,0.8,Positive,Positive,FALSE,"very excited to try this restaurant. The food we had overall was good but nothing outstanding, can't argue since the price point is great and service was super quick and friendly despite the long line. The lineup inside is a but confusing though as they take up space and people just try to reserve seats even though they're so far along in the line."
rev_17,03/24/2026 06:39:04,Nat,Yusen & Prep,lineup inside,lineup inside is confusing,-0.5,Negative,Negative,FALSE,"very excited to try this restaurant. The food we had overall was good but nothing outstanding, can't argue since the price point is great and service was super quick and friendly despite the long line. The lineup inside is a but confusing though as they take up space and people just try to reserve seats even though they're so far along in the line."
rev_18,03/24/2026 06:36:34,Molybdenum O,Seimen,plain udon,recommended plain,0.8,Positive,Positive,FALSE,I recommend getting plain udon and then load up on the tempura and side dishes
rev_18,03/24/2026 06:36:34,Molybdenum O,Tempura,tempura,load up positive,0.8,Positive,Positive,FALSE,I recommend getting plain udon and then load up on the tempura and side dishes
rev_18,03/24/2026 06:36:34,Molybdenum O,Yusen & Prep,side dishes,load up side,0.8,Positive,Positive,FALSE,I recommend getting plain udon and then load up on the tempura and side dishes
rev_21,03/23/2026 20:44:38,Alan Lam,Seimen,kake broth,"savory, comforting",0.9,Positive,Positive,FALSE,"Marugame Udon is known for making their udon fresh in-house, and that’s a big part of the appeal. You can actually watch them smashing the dough, cutting the noodles, and boiling everything fresh right in front of you. They even measure each bowl precisely, so there’s a real sense of consistency in what you’re getting. I tried the Kake Udon in a large size, which is their classic fish stock soup, and the broth was really tastey: savoury, comforting, with just the right amount of richness, fat, and saltiness without feeling too heavy. The noodles were also spot on, with that proper chewy texture you want from fresh udon. I added the Chicken Katsu and Shrimp Tempura on the side. The Katsu was actually really good, and the portion size felt worth the price. That said, once you start adding sides and a drink, it adds up fast, my total came to $28 after tax with just a bottle of water. If you stick to just the udon and maybe one extra, you can probably keep it closer to around $20. I got the large, but honestly if you have a smaller appetite, the small is probably more than enough. I liked the fast, efficient vibe, but the place is also well designed with lots of seating, so it still feels comfortable and not too hectic. Overall, solid spot if you want fresh udon in a casual setting that still feels nice, just know the add-ons can push the bill up pretty quickly."
